antig;cif;cp;ebitda_2016;empleados;municipio;name;owner;provincia;rank;resultado_2016;sector;ventas_2015;ventas_2016
94;A28015865;28013;5131000000.0;1135.0;madrid;telefonica sa;alvarez pallete lopez jose maria;madrid;51;24000000.0;Telecomunicaciones;6027000000;2756000000.0
54;A14010342;46002;1141964000.0;13159.0;valencia;bankia sa;goirigolzarri tellaeche jose ignacio;valencia;52;719455000.0;Intermediarios financieros;3677307000;2743635000.0
5;A86868189;28036;392687000.0;8639.0;madrid;renfe viajeros sa;taboas suarez isaias;madrid;53;49558000.0;Ferrocarril y industrias correspondientes;2713516000;2738303000.0
18;B82846825;28042;-12062000.0;;madrid;endesa energia xxi sl;domenech piera javier;madrid;54;-16186000.0;Utilities / Servicios de utilidad pública;3237826000;2733777000.0
92;A28000727;28004;-3841512000.0;;madrid;banco popular español sa;echenique gordillo rodrigo;madrid;55;-3222318000.0;Intermediarios financieros;3318929000;2731596000.0
39;A28559573;28108;-30442000.0;339.0;alcobendas;galp energia españa sa;gomes da silva carlos nuno;madrid;56;-70584000.0;Petróleo y gas;3276262000;2723156000.0
101;A46004214;28027;2515903000.0;10.0;madrid;cemex españa sa;new sunward holdingbv;madrid;57;2479003000.0;Construcción y Desarrollo;152397000;2641221000.0
117;A48010615;48008;1753273000.0;606.0;bilbao;iberdrola sa;sanchez galan jose ignacio;vizcaya;58;1410966000.0;Utilities / Servicios de utilidad pública;1794139000;2639838000.0
86;A20003570;28760;448647000.0;7792.0;tres cantos;michelin españa portugal sa;rebollo fernandez jose;madrid;59;232447000.0;Automotor;2534734000;2516945000.0
20;B61768511;28022;113616000.0;3945.0;madrid;iveco españa sl;revillaarroyo jaime;madrid;60;-39343000.0;Automotor;2391440000;2492605000.0
6;B86561412;28042;234072000.0;51.0;madrid;coca-cola european partners iberia sl;cosano jordafrancisco;madrid;61;252985000.0;Bebidas y Tabaco;2774417000;2419999000.0
21;A81861122;28046;150550000.0;424.0;madrid;cepsa quimica sa;badiola guerra alvaro;madrid;62;96373000.0;Petróleo y gas;2931060000;2337706000.0
18;B82846817;08018;1729466000.0;2996.0;barcelona;endesa distribucion electrica sl;mayo lainezjose maria;barcelona;63;782044000.0;Utilities / Servicios de utilidad pública;2327622000;2312797000.0
25;A47329180;28050;27030000.0;300.0;valladolid;renault españa comercial sa;bouligny richard andre;valladolid;64;9920000.0;Automotor;1896634000;2281644000.0
22;A81473852;08960;50840000.0;264.0;sant just;bunge iberica sa;de souza candia fernando;barcelona;65;56452000.0;Agricultura;2479029000;2256247000.0
49;A28229813;28009;50676166.0;4583.0;madrid;viajes el corte ingles sa;nuño de la rosa coloma jesus jorge;madrid;66;28964973.0;Productos / actividades de ocio / Películas;2250287100;2233168687.0
25;B87009098;28020;50807000.0;;madrid;mex gas supply sl;quiroz ramirez jose alberto;madrid;67;32935000.0;Petróleo y gas;1607175000;2231979000.0
38;F46078986;46460;123991672.0;12332.0;silla;consum s coop v;llobell mas francesc;valencia;68;46804339.0;Minoristas de alimentos / medicamentos;1974359542;2201898196.0
6;A86602158;28046;-36769000.0;356.0;madrid;sociedad de gestion de activos procedentes de la reestructuracion bancaria sociedadanonima;echegoyen enriquezde la orden jaime;madrid;69;-662791000.0;Intermediarios financieros;2208435000;2160672000.0
18;A95075578;48003;1563918000.0;3791.0;bilbao;iberdrola distribucion electrica sa;martinez martinez armando;vizcaya;70;701285000.0;Utilities / Servicios de utilidad pública;2031731000;2147758000.0
14;A63422141;08820;72543000.0;3030.0;el prat del llobregat;vueling airlines sa;sanchez prieto alcazar javier;barcelona;71;48902000.0;Transporte aéreo;1945779000;2045348000.0
98;A08005449;08950;191400000.0;4193.0;esplugues de llobregat;nestle españa sa;castañer basco francisco;barcelona;72;354747000.0;Productos alimenticios;1983692000;1973404000.0
